,facility_name,facility_address,rating
43492,CONI SEAFOOD,4532 S CENTINEA AVE,
43520,JUICE BUTCHER,7473 MELROSE AVE,
43540,SWEETGREEN LA BREA,180 S LA BREA AVE,
43550,STARBUCKS,1001 S OLIVE ST,
43553,ROO SILVERLAKE,1523 GRIFFITH PARK BLVD,
43554,T AND D LIQUOR,3860 W SLAUSON AVE,
43566,DULCE,3096 S MCCLINTOCK AVE # 4-B,
43577,CHINA TOWN EXPRESS,321 S MCDONELL AVE,
43594,LE BALCON BAKERY,7300 W SUNSET BLVD STE H,
43615,LYTE NUTRITION AND FITNESS,6124 WILSHIRE BLVD,
43642,DAN'S DELI,300 S GRAND AVE #LP -370,
43645,NEON COFFEE,3206 W SUNSET BLVD,
43684,7-ELEVEN STORE 39833A,3672 W 3RD ST,
43692,RINCONCITO,1633 E FLORENCE AVE,
43698,XHEA,3315 CAHUENGA BLVD W,
43703,CHIPOTLE MEXICAN GRILL #3062,2134 W SUNSET BLVD,
43710,FLAVOR OF INDIA,7950 SUNSET BLVD # 105,
43753,CHECKER'S LOUNGE,535 S GRAND AVE,
43777,SABOR NICARAGUENSE RESTAURANT,1927 W WESTERN AVE STE 1,
43782,MI CUSCATLAN,1436 S VERMONT AVE,
43788,LA COLOMBE,3900 W SUNSET BLVD,
43797,FAMILY DOLLAR #11527,7300 S WESTERN AVE,
43803,QUICK STOP BURGERS #1,7651 S SAN PEDRO ST,
43814,TRAMP STAMP GRANNY'S,1638 N CAHUENGA BLVD,
43902,TANDOORI EATS,10004 NATIONAL BLVD,
43909,FUDU CHINESE GRILL CUISINE,4436 S LONG BEACH AVE,
43934,RANCE'S CHICAGO PIZZA,835 W JEFFERSON BLVD # 1740,
43942,"EDWIN B PURDY, PRES",5919 W 98TH ST,
43964,WALL STREET PIZZA,11955 W WASHINGTON BLVD STE 1,
43977,STARBUCKS #53657,2134 W SUNSET BLVD,
44002,JIN JU CO,807 E 12TH ST # 239,
44005,B BEE CREPE,3760 S CENTINELA AVE,
44052,ALL TIME,2040 HILLHURST AVE,
44063,LIEDER'S,129 N LA BREA AVE,
44089,LOWBOY,1536 W SUNSET BLVD,
44091,EGGSLUTS,8500 BEVERLY BLVD # 101,
44096,DAVE'S HOT CHICKEN,970 N WESTERN AVE,
44124,WALT'S,4680 EAGLE ROCK BLVD,
44150,LA MONARCA BAKERY,1096 N WESTERN AVE,
44166,MANPUKU,8486 W 3RD ST,
44170,DOSANKO RAMEN,11555 W OLYMPIC BLVD STE B,
44181,TOCAYA ORGANICA,10250 SANTA MONICA BLVD # 2300,
44183,DORA AFRICAN PRODUCE,4564 W WASHINGTON BLVD,
44185,WATER PLUS MARKET,528 ALPINE ST,
44187,TARGET STORE #T2774,10861 WEYBURN AVE,
44195,OLYMPIC & FRASER MARKET,4953 E OLYMPIC BLVD,
44213,VICTORIA'S LIQUOR STORE,3882 E 1ST ST,
44221,CVS/PHARMACY #9477,5399 W CENTINELA AVE,
44227,AHAL ZAD PETRO,1355 W MLK BLVD,
44236,NEW HIGH TEA   IMAGING CO,715 NEW HIGH ST STE A,
44243,LOS ANGELES MISSION WOMENS SHELTER,310 E WINSTON ST,
44244,LOS ANGELES MISSION - MENS,303 E 5TH ST,
44246,ZUNIGA'S MARKET,3033 W 6TH ST STE 102,
44252,CHAVELITA'S MARKET,4202 UNION PACIFIC AVE,
44254,SPIN FISH POKE HOUSE,372 E 2ND ST,
44259,TOADS MARKET,2000 EASTLAKE AVE STE 101,
44262,WALGREENS #06854,2222 COLORADO BLVD,
44272,STANDINGS BUTCHERY,7016 MELROSE AVE,
44281,99 CENTS OUTLET,425 E IMPERIAL HWY UNIT D,
44285,IMART,269 S LOS ANGELES ST,
44286,CHEVRON FOOD MART,428 W FLORENCE AVE,
44297,AU LAC PLANT-BASED FOOD & DRINK,710 W 1ST ST,
44300,BHATTI DISCOUNT STORE,1800 BEVERLY BLVD STE B2,
44316,MARTINEZ 99 CENTS STORE,8918 S BROADWAY,
44321,CHEVRON MINI-MART,11852 SAN VICENTE BLVD,
44327,MCDONALD'S  #1126,1081 W MARTIN LUTHER KING JR,
44328,HEIDY MINI MARKET,8622 S BROADWAY,
44331,THE COFFEE BEAN & TEA LEAF,8631 W 3RD ST # 311E,
44337,SWEET E'S BAKE SHOP,4574 W ADAMS BLVD,
44338,THE CASK LA,8616 W PICO BLVD,
44341,BANGKOK STREET FOOD,5269 HOLLYWOOD BLVD,
44347,EL GARABATO,1600 W SLAUSON AVE # L-2,
44350,THE YOGURT SHOPPE,11726 BARRINGTON CT,
44354,TACO BELL #33623,2800 CRENSHAW BLVD,
44370,ARCO AM/PM #5207,3834 E 3RD ST,
44377,JR DISCOUNT,8201 AVALON BLVD,
44380,JERRY'S MARKET,4279 S VERMONT AVE,
44384,ONE DOLLAR STORE,3705 W 3RD ST,
44385,LA PRADERA,1611 W JAMES M WOOD BLVD,
44388,YEKTA CATERING,11939 SANTA MONICA BLVD,
44393,AHI POKI,3782 S FIGUEROA ST,
44394,TIN BO COMPANY,841 N BROADWAY,
44395,DUBAI SAUCE,6510 HOLLYWOOD BLVD,
44398,HOTEL CAFE,1623 1/2 N CAHUENGA BLVD,
44399,J&M MARKET,2643 E 4TH ST,
44400,PINKBERRY LITTLE TOKYO,332 E 2ND ST STE A,
44406,KENS LIQUOR,7535 S BROADWAY,
44412,PAPA JOHN'S PIZZA #2623,2222 S HOOVER ST,
44424,ANZU,11270 LA GRANGE AVE,
44433,THE KICKIN' CRAB,3755 SANTA ROSALIA DR # F,
44434,YOSEMITE GINSBERG & HERBS,657 N BROADWAY,
44435,PRIME PIZZA,141 CENTRAL AVE,
44439,AMIGOS MEAT MARKET,803 CYPRESS AVE,
44445,PIC N GO,2610 S SAN PEDRO ST,
44451,SUNLIFE ORGANICS,10250 SANTA MONICA BLVD # 1383,
44456,STARBUCKS COFFEE #9230,217 N HILL ST,
44475,PIPS ON LA BREA,1356 S LA BREA AVE,
44478,FRESH WATER GENERAL STORE,1418 W 6TH ST,
44485,STARBUCKS COFFEE #6557,138 S CENTRAL AVE,
44486,JOE'S MARKET,8874 CADILLAC AVE,
44494,MAIKO,939 S WESTERN AVE,
44505,GNC K-TOWN,165 S WESTERN AVE,
44509,FLORENCE DONUTS,1242 E FLORENCE AVE,
44510,AUNTIE ANNE'S PRETZEL,3650 W MARTIN LUTHER KING JR. BLVD # K-1A,
44517,DUKES LIQUOR STORE,818 S SAN PEDRO ST,
44522,ESTAMBRES CRAFTS JUAREZ,3866 E CESAR E CHAVEZ BLVD,
44523,99 CENTS UP BUENA VISTA,1931 W 6TH ST,
44525,ROSITA'S MINI MARKET,4107 S CENTRAL AVE,
44526,DOMINO'S PIZZA,2803 S FIGUEROA ST,
44528,F AND 4 LIQUOR,10712 S AVALON BLVD,
44529,LA ESPECIAL MINI MARKET,3467 E 8TH ST,
44532,HOOVER DISCOUNT STORE AND TO,7522 S HOOVER ST,
44533,M & T LIQUOR,4161 W WASHINGTON BLVD,
44537,GRILLIANT,10861 LINDBROOK DR,
44538,THE COMEDY UNION,5040 W PICO BLVD,
44542,BREAKAWAY BAKERY,5264 W PICO BLVD,
44555,DA VINCI BAKERY,3868 E CESAR E CHAVEZ AVE,
44557,EDITH MARKET #4,3620 BLANCHARD ST,
44558,STAR MARKET,801 N ALMA AVE,
44561,"DAVID SERVICE STATION, INC.",1404 W MLK BLVD,
44567,LET'S ROLL SUSHI,330 S HOPE ST # #226,
44573,FOLLOW THE LEADER FOOD SERVICE,8451 S VERMONT AVE,
44574,SONAR BANGLA STORE,4250 W 3RD ST,
44575,CAFE CREPE,800 N ALAMEDA SHL # S3,
44577,BROADWAY DISCOUNT,2701 N BROADWAY AVE,
44585,METRO SNACKS,816 W 8TH ST,
44594,LAKERS LIQUOR,1040 W IMPERIAL HWY,
44598,ATWATER 76,3070 GLENDALE BLVD,
44601,LA BREA VALERO,2339 S LA BREA AVE,
44604,THE PARLOR,300 WORLD WAY # 342,
44605,THE CHAIRMAN,1200 E 5TH ST,
44606,LINDA'S MARKET,4004 CITY TERRACE DR,
44610,JERSEY MIKE'S SUBS,11901 W OLYMPIC BLVD,
44612,PIZZA BUONA,922 N ALVARADO ST STE C,
44613,AVALON ARCO & SN MART,9600 S AVALON BLVD,
44614,LA SIRENA FISH MARKET,4226 E OLYMPIC BLVD,
44615,LAMP VILLAGE,527 CROCKER ST,
44616,UNITED HOUSE OF PRAYER,1029 E VERNON AVE,
44623,EL SUPREMO,3837 E 1ST ST,
44626,PORTERHOUSE FRIED CHICKEN,2205 VERNON AVE,
44627,SUNRISE ENERGY INC.,1300 N WESTERN AVE,
44630,GEFFEN PLAYHOUSE,10886 LE CONTE AVE,
44637,SUNNY LIQUOR & MARKET,12815 VENICE BLVD,
44644,BLUESTONE LANE,176 S LA BREA AVE,
44645,GARCIAS MARKET,300 S AVENUE 19,
44655,BESTWAY LIQUOR,4157 S FIGUEROA ST,
44666,SUNNY MARKET,1600 W SLAUSON AVE # T-31,
44668,CENTRAL CITY MARKET,10213 S CENTRAL AVE,
44673,NEW HONG KONG EXPRESS,3991 S WESTERN AVE # 2,
44674,LA PIZZA LOCA #5,5040 WHITTIER BLVD,
44678,DIANA'S MINI MARKET,5610 S MAIN ST,
44679,99~ PLUS & BEAUTY SUPPLY,8221 S NORMANDIE AVE,
44684,ABE'S CHEVRON SERVICE,2065 S LA CIENEGA BLVD,
44692,SAGRADO CORAZON-BOTANICA,2620 1/2 E CESAR E CHAVEZ AVE,
44693,THE COFFEE BEAN & TEA LEAF,700 WORLD WAY,
44701,JAMILETH MINI MARKET,7325 S CENTRAL AVE,
44702,LITTLE CEASARS # 5945,10714 S WESTERN AVE # 106A,
44703,LA CHIQUITA MARKET,11791 W PICO BLVD,
44718,LOS 3 MIGUELES MARKET,4151 S CENTRAL AVE,
44721,ROCCO'S TAVERN,1000 GAYLEY AVE,
44724,SAMY'S 99 CENT'S STORE,7325 S CENTRAL AVE,
44730,7-ELEVEN STORE 34635B,3724 N MISSION RD,
44753,LUNA'S CAKES,5372 W ADAMS BLVD,
44758,KING'S BREAKFAST CAFE,10990 WILSHIRE BLVD,
44763,JOE'S MOBIL SNACK SHOP,6228 FRANKLIN AVE,
44764,CENTURY GIFTS & SUNDRIES,1880 CENTURY PARK E STE 101,
44768,BELLE VIE,11916 WILSHIRE BLVD,
44774,DOMINO'S PIZZA #8113,12237 SANTA MONICA BLVD,
44781,GIVING TREE COFFEE,1662 1/2 W ADAMS BLVD,
44782,901 CLUB,2902 S FIGUEROA ST,
44783,COLUMBIA LIQUOR,5901 COMPTON AVE,
44786,SUKARNE,1500 E OLYMPIC BLVD # 1-37,
44791,EAST L.A. MARKET,3318 CITY TERRACE DR,
44794,SNOCIETY URBAN EATERY,330 E 2ND ST UNIT C,
44800,Z PASTA BAR,10800 W PICO BLVD # 324,
44801,LA FLOR DE IZUCAN,2900 S SAN PEDRO ST,
44802,TONY'S MINI MARKET 99 CENTS,425 E VERNON AVE,
44811,LA FIESTA BAKERY AND RESTAURANT,1442 W MARTIN LUTHER KING JR,
44816,ABHIRUCHI GRILL,10823 VENICE BLVD,
44824,DOLLAR AND DIME DISCOUNT,6559 HOLLYWOOD BLVD,
44828,NOODLES TIME,211 ALPINE ST # 7A,
44830,EL TRI MEAT MARKET,501 S FETTERLY AVE,
44832,STADIUM WINE AND BEER,1380 W SUNSET BLVD,
44836,R&L LIQUOR,12714 S WESTERN AVE,
44841,ESPRESSO PROFETA,1129 GLENDON AVE,
44843,LA MICHOACANA,2715 S WESTERN AVE # D,
44845,JOE SUPERMARKET,12131 WASHINGTON PL # E,
44847,LES PRODUCE MARKET,1529 E FLORENCE AVE,
44849,J & E LIQOURS,7911 FIGUEROA ST,
44854,EL RINCONCITO WATER MARKET,1603 E 99TH ST,
44859,MANA BURGERS,3781 1/2 S WESTERN AVE,
44862,UNO WATER,4100 BROADWAY,
44864,LIQUOR MART,7580 W SUNSET BLVD,
44865,T & J MARKET,1462 W MARTIN LUTHER KING,
44866,BRISITAS 99CENTS PLUS,2704 W JEFERSON BLVD,
44873,PINKBERRY #15032,332 E 2ND ST # A,
44889,BOBA TIME - HIGHLAND,5001 WILSHIRE BLVD STE 104,
44893,DIA DE LOS PUERCOS PARA TO GO...,2765 E OLYMPIC BLVD,
44898,DISCOUNT FOOD MARKET,4807 S VERMONT AVE,
44900,MAYA'S GRILL,1645 FIRESTONE BLVD,
44910,WESTERN FUEL GROUP,3063 S CRENSHAW BLVD,
44921,SUBWAY #5822,3974 S FIGUEROA ST,
44924,VALERO ADAMS,2545 S CRENSHAW BLVD,
44927,KAISH,200 S LOS ANGELES ST STE B,
44929,MAGIC DISCOUNT,5305 S MAIN ST,
44936,GRILL THAI,450 S WESTERN AVE,
44938,FRANK'S LIQUOR STORE,8720 S WESTERN AVE,
44941,PICO RANCH MARKET,5151 W PICO BLVD # D,
44942,EDITH'S MARKET #2,603 N EVERGREEN AVE,
44944,EL BUEN GUSTO RESTAURANT INC,2829 FLETCHER DR,
44946,GRAND PRIZE LIQUORS,4555 W WASHINGTON BLVD,
44948,HIGHLAND MOBIL,1051 N HIGHLAND AVE,
44963,GUYI,11677 SAN VICENTE BLVD,
44979,CORNER MARKET,5945 S FIGUEROA ST,
44982,LEO MARKET,1394 W SUNSET BLVD,
44985,EL HUARIQUE CULVER CITY,10717 VENICE BLVD,
44991,MONTEMAR MARKET,248 N NORTH AVENUE 50,
44996,THE COFFEE BEAN & TEA LEAF,5115 WILSHIRE BLVD STE G,
44997,MIKE DELI,238 E 1ST ST,
45000,RED LIQUOR MARKET,2600 SOUTHWEST DR,
45011,POKE EXPRESS,316 E 2ND ST,
45016,DELI & COMPANY,100 WORLD WAY # 136,
45019,BROADWAY MOBIL INC,315 W VERNON AVE,
45020,GONZALEZ BEAUTY SUPPLY & PERFUME,7009 S AVALON BLVD,
45027,C & C LIQUOR MARKET,4606 S BROADWAY,
45030,GONG CHA CAFE - LITTLE TOKYO,318 E 2ND ST STE A,
45049,CHOCOLATE OPULENCE,2011 SAWTELLE BLVD,
45050,7-ELEVEN STORE 39012B,7353 MELROSE AVE,
45058,OYSTARS,136 S CENTRAL AVE,
45067,WASHINGTON MARKET,5390 W WASHINGTON BLVD,
45069,TACO BELL #26843,12800 S FIGUEROA ST,
45070,VOLCANO SUSHI ROLL BOBA,3019 S FIGUEROA ST,
45074,D'BONGO 99 CENT & PARTY SUPP,1254 W TEMPLE ST,
45076,T J MAXX HOME GOODS #856,8621 S SEPULVEDA BLVD,
45084,STARBUCKS,232 2ND ST # D,
45088,SOUPLANTATION,11911 SAN VICENTE BLVD STE 116,
45092,JO-ANN FABRIC AND CRAFT STORE,1250 S LA CIENEGA BLVD,
45096,FARMACIA SAN MARTIN,1554 W ADAMS BLVD,
45107,RODEO'S DISCOUNT,4122 S CENTRAL AVE,
45110,ETHICAL DRUGS,254 N WESTERN AVE,
45112,RED'S LIQUOR,10001 S MAIN ST,
45118,VALUE PLUS TOBACCO MARKET,13406 S AVALON BLVD,
45138,MIRNAS MARKET,4501 S ALAMEDA ST # 9,
45148,EL BUEN DIA MARKET,4708 E HAMMEL ST,
45149,BEZJIAN'S GROCERY,4725 SANTA MONICA BLVD,
45150,PINKBERRY,6333 W 3RD ST STE 130,
45154,RANDY'S MINI MARKET,1958 E 103RD ST,
45155,JUREMA NUTRITION,1412 E FLORENCE AVE,
45158,AVALON LIQOUR,5111 AVALON BLVD,
45160,MEDITERRANEAN TRADITIONAL FOOD,10821 VENICE BLVD,
45176,REGENCY BRUIN THEATRE,948 BROXTON AVE,
45179,ALFALFA FARMERS MARKET,5151 W PICO BLVD # D,
45191,MAHBUB & SONS MINI MARKET,2313 S HOOVER ST,
45193,GREENFIELD'S DAIRY NO 3,8303 S NORMANDIE AVE,
45196,MOBY LIQUOR,8201 S SAN PEDRO ST,
45207,SLATER GROCERY STORE,11603 S SLATER ST,
45210,CVS/PHARMACY #9493,12315 VENICE BLVD,
45211,BEST BUY,11301 W PICO BLVD,
45212,LOBSTER AND BEER,3456 MOTOR AVE # 101,
45223,6TH AVE LIQUOR STORE,3526 W WASHINGTON BLVD,
45227,BIRD'S NEST CAFE,2403 S VERMONT AVE,
45228,IVY MINI MARKET,663 N HELIOTROPE DR,
45233,SUSY'S MARKET,6635 S HOOVER ST,
45236,JOSHUA'S MARKET AND CENTER SERVICES,5150 S MAIN ST,
45240,METRO MEAT MARKET,1720 N EASTERN AVE,
45246,GATEWAY NEWSTANDS,601 S FIGUEROA ST STE 175,
45258,EMILIO'S DISCOUNT,5402 AVALON BLVD,
45259,SEVENTH VEIL,7180 W SUNSET BLVD,
45268,DAVE'S LIQUOR,9317 S VERMONT AVE,
45273,AMAY'S BAKERY & NOODLE CO IN,618 NEW HIGH ST,
45275,KINGS LIQUOR,4253 CITY TERRACE AVE,
45280,TEASHOT,123 ASTRONAUT E. S. ONIZUKA ST,
45288,SORO SWEETS,2835 S ROBERTSON BLVD,
45292,SPICE AFFAIR,10250 SANTA MONICA BLVD # FC10,
45300,MEXICO DISCOUNT STORE,4527 S BROADWAY,
45302,Y & Y MARKET,373 W 39TH ST,
45309,HANNA MATZIP,1600 W SLAUSON AVE # A18,
45311,LAS 3 LUNAS #2,4907 MAPLEWOOD AVE,
45347,PIKNIC,2000 AVENUE OF THE STARS # 20,
45352,GAMEZ SPORTS BAR/ONYX LOUNGE,500 S SPRING ST,
45360,HANDY MARKET,1438 W 38TH ST,
45361,LA FORTUNA MARKET,1734 E 22ND ST,
45366,NADEAU CAFE,1880 NADEAU ST,
45372,WINCHELL'S DONUTS #9381,2100 BEVERLY BLVD,
45373,COFFEE HOUSE 2,2829 S GRAND AVE,
45381,SANDWICH SHOP LITTLE TOKYO,123 ASTRONAUT E. S. ONIZUKA ST,
45386,ARLINGTON COMMUNITY MARKET,3798 S ARLINGTON AVE,
45393,FELLOW RESTAURANT,1071 GLENDON AVE,
45400,PITA CAFE,1976 S LA CIENEGA # B,
45411,AVILES MARKET,3052 W 7TH ST,
45417,PAPA JOHN'S PIZZA,5654 W MANCHESTER AVE,
45420,MARINA MARKET,4484 W ADAMS BLVD,
45422,WEXLER'S DELI,10250 SANTA MONICA BLVD # FC22,
45435,HUNTER & CHARLIE'S,1050 N VINE ST,
45436,ROSS DRESS FOR LESS #38,6298 W 3RD ST,
45441,RESTAURANT SALVADORENO PASEO LOURDES,254 W FLORENCE AVE,
45445,LIYO SMOKE SHOP & DISCOUNT STORE,4034 W MARTIN LUTHER KING JR BLVD,
45448,ASIAN BOX,10250 SANTA MONICA BLVD STE FC3,
45452,WESTWOOD CHEVRON,10815 NATIONAL BLVD,
45458,PASEO SAN MIGUEL RESTAURANT,3723 S WESTERN AVE,
45464,KOBUNGA KOREAN GRILL,929 W JEFFERSON BLVD,
45481,CASA BARILLA RESTAURANT,3201 S HOOVER ST,
45483,TA CHONG COMPANY,685 N SPRING ST UNIT B,
45485,BALDWIN HILL CRENSHAW PLAZA,3650 W MARTIN LUTHER KING JR. BLVD STE 243,
45500,CORRIL MINI MARKET,10715 S CENTRAL AVE,
45507,EL-T BAR& GRILL,7717 COMPTON AVE,
45509,LA ESTRELLA MARKET,1615 E FLORENCE AVE,
45513,DEL REY LIQUOR,8503 S VERMONT AVE,
45518,GREENHOUSE JUICE BAR,5235 LANKERSHIM BLVD,
45523,LET'S ROLL SUSHI,1875 CENTURY PARK E # J,
45526,7-ELEVEN,3845 E 3RD ST,
45527,NEWS-STAND,10250 STA MON BLVD STE #200B,
45533,PANERA BREAD,1101 WESTWOOD BLVD # 1145,
45542,THE COFFEE BEAN & TEA LEAF,11698 SAN VICENTE BLVD,
45545,LA INDIA BONTITA MEXICAN FOOD,4729 E OLYMPIC BLVD,
45546,CHICK-FIL-A @ USC,3758 S FIGUEROA ST,
45547,SNOWYA,123 ASTRONAUT.E.S.ONIZUKA ST # 103,
45555,JORGE 99 MARKET,4217 S HOOVER ST,
45561,SOGONGDONG,450 S WESTERN AVE,
45563,ROYAL DELI MARKET,410 W 6TH ST # A,
45565,UCLA HILLEL-OUR KOSHER TABLE,574 HILGARD AVE,
45571,RANDY'S DONUTS,10250 SANTA MONICA BLVD # 9175,
45574,HAPPY'S LIQUOR,3192 VERDUGO RD,
45590,BLUE BOTTLE COFFEE,2066 HILHURST AVE,
45596,CVS/PHARMACY #9576,10889 WELLWORTH AVE,
45597,HAKATA IKKOUSHA LITTLE TOKYO,368 E 2ND ST,
45604,G & W LIQUOR,3504 W SLAUSON AVE,
45607,CVS/PHARMACY #9582,3741 S CRENSHAW BLVD,
45620,THREE AMIGOS,525 N FAIRFAX AVE,
45622,SOUTH WESTERN SHELL,8611 S WESTERN AVE,
45624,MINI MARKET LUNA,720 E FLORENCE AVE,
45628,ABARROTES SIERRA JUAREZ,1306 S MAGNOLIA AVE,
45631,RAFI'S CHEVRON #4,1101 N MISSION RD,
45636,SHULTON CITY FAMILY RESTAURANT,3603 S SAN PEDRO ST,
45640,JACINTO SILVIA,301 N BIXEL ST,
45644,RIMON'S SHELL,1010 W MLK BLVD,
45653,FRANKS MARKET,2690 WORKMAN ST,
45654,DEJA VU,710 E COMMERCIAL ST,
45659,NEW DISCOUNT STORE,1030 W MARTIN LUTHER KING JR. BLVD # 105,
45664,PILI MANILA,201 N LOS ANGELES ST # 103,
45670,MELROSE CHEVRON,4590 MELROSE AVE,
45673,SHEEBA OIL AND SONS,255 E MANCHESTER AVE,
45676,JOE'S DISCOUNT STORE,11017 S VERMONT AVE,
45678,G N C,11740 SAN VICENTE BLVD,
45699,GARCIA MARKET,3052 W 7TH ST,
45702,THE COFFEE BEAN & TEA LEAF,1845 S LA CIENEGA BLVD # B,
45704,SCOOPS CHINATOWN,727 N BROADWAY WAY STE 125,
45705,JAMBA JUICE #1514,4729 VENICE BLVD,
45709,BABY'S NUTRITIONAL CENTER,6001 S VERMONT AVE STE #C,
45714,ZARAGOZA'S MINI MARKET,8103 ALIX AVE,
45716,CENTURY ARCO,9922 S MAIN ST,
45724,HOUSE OF AMBROSE WINE & SPIRITS,3331 BARHAM BLVD,
45734,MAYAN RETAIL,1809 W 6TH ST,
45746,UNITED OIL #150,2121 S ARLINGTON AVE,
45747,CAL MART,3003 S FIGUEROA ST,
45751,SPORTSMEN'S LIQUOR,3918 1/4 E CITY TERRACE DR,
45758,SANDRA'S MARKET,249 W MARTIN LUTHER KING JR BLVD,
45778,LATINA MARKET,1503 E 66TH ST,
45781,MOISES MINI MARKET,1401 E VERNON AVE,
45785,DICK'S LIQUOR,11317 S AVALON BLVD,
45787,FRESH PLUS PRODUCE,3663 W 6TH ST # G102,
45790,BIBIGO,10250 SANTA MONICA BLVD,
45797,"MILK+T, INC",200 S SAN PEDRO ST UNIT 310,
45807,ANGELINO'S NUTRITION,4919 S HOOPER AVE,
45816,NEW MARKET,11100 S VERMONT AVE,
45826,B SAVER DISCOUNT STORE,2206 BEVERLY BLVD UNIT B,
45832,SAN BUENA MARKET,1915 E GAGE AVE,
45841,TORTILLERIA COATZINGO,4205 S BROADWAY ST,
45843,SPORTS AUTHORITY #637,1919 S SEPULVEDA BLVD # #37,
45847,PAYLESS MARKET,5714 S WESTERN AVE,
45858,DOUGH AND JOE,1708 S ROBERTSON BLVD,
45859,4 DIAMANTES MARKET,4753 S BROADWAY,
45861,L & G MINI MARKET,6415 1/2 S VERMONT AVE,
45862,A& M MINI MART,6600 S HOLMES AVE,
45868,SEVEN DAY CHEVON,1787 N HIGHLAND AVE,
45869,SAVE A LOT #775,8601 HOOPER AVE,
45879,MCDONALD'S #7072,10611 W PICO BLVD,
45885,EL RECREO,3000 WABASH AVE,
45898,L. A. GROCERY STORE,4510 S WESTERN AVE,
45911,B&B MINI MARKET,4140 S CRENSHAW BLVD,
45914,HAPPY BARGAIN MART,7421 S BROADWAY,
45921,CAFECITO,4726 S HUNTINGTON DR,
45923,CHARLEY'S MINI MARKET & PARTY RENTAL,1854 W WASHINGTON BLVD,
45929,JACOBS MINI MART,8405 S WESTERN AVE,
45941,DOLLAR DOLLAR,2150 FIRESTONE BLVD,
45954,HANCOR SHELL,2600 N FIGUEROA ST,
45971,CORTES MINI MARKET 99CENT,4426 S HOOVER ST,
45974,LUCKY MARKET,4635 E OLYMPIC BLVD,
45976,CAFE MANNEQUIN,850 S BROADWAY ST # LOBBY,
45977,SANTA ROSA PUPUSERIA Y RESTAURANTE,4307 S VERMONT AVE,
45980,INNER CITY MARKET,1435 W 39TH ST,
45983,CHAVA'S MINI MARKET,3925 E OLYMPIC BLVD,
45984,KFT GROCERY STORE,701 N SPRING ST,
45986,"PEREZ, MINI MARKET",4355 S AVALON BLVD,
45992,A&A MARKET,6709 S NORMANDIE AVE,
45993,SHELL FOOD MARKET,8126 LINCOLN BLVD,
46010,BUY RITE MARKET,251 W MANCHESTER AVE,
46012,FAMILY MINI MARKET,4785 SANTA MONICA BLVD,
46028,ROSS STORES INC #323,3033 S SEPULVEDA BLVD,
46039,PANTAGES,6233 HOLLYWOOD BLVD,
46045,SAM'S CHEVRON,2546 S LA BREA AVE,
46058,A & M DISCOUNT,4159 BEVERLY BLVD,
46062,MADAME TUSSAUDS RETAIL SHOP,6933 HOLLYWOOD BLVD,
46069,KING EXPRESS,4333 S VERMONT AVE,
46075,MINI MERCADITO IN E.L.A. #2,3425 E 1ST ST STE 116,
46078,ALICIA'S BRIDAL & COSMETICS,4433 S ALAMEDA ST #E3B,
46083,UNITED FAMILY ARCO #9637,4406 W ADAMS BLVD,
46097,FARM FRESH DAIRY,9803 S AVALON BLVD,
46102,LANDMARK NUART THEATRE,11272 SANTA MONICA BLVD,
46104,EL QUETZAL BAKERY,2791 W PICO BLVD,
46110,HIGHLAND MARKET,3101 N EASTERN AVE,
46112,SUR LA TABLE,6333 W 3RD ST STE P-10,
46120,SWEETGREEN,11677 SAN VICENTE BLVD,
46122,D'AMORE CAFE,10717 VENICE BLVD,
46124,GENERAL NUTRITION CENTER #23,505 S FLOWER ST,
46127,DONUTS KING,1601 E IMPERIAL HWY STE 105,
46145,MORE 4 LESS,10207 S VERMONT AVE,
46151,LA CHIKITITA 99 & UP,6112 HOMES AVE,
46153,ALI HASAN,623 N AVENUE 64,
46161,WESTSIDE SHELL MART,10991 SANTA MONICA BLVD,
46170,WINSLOW CHEVRON,650 E WASHINGTON BLVD,
46171,JOE BEZERRA'S CHEVRON #3,901 N ALAMEDA ST,
46181,WESTWOOD MOBIL MART,10863 W OLYMPIC BLVD,
46185,G&M OIL #79,256 E MANCHESTER AVE,
46186,BIENESTAR HUMAN SERVICES,5326 E BEVERLY BLVD,
46194,MARSHALL'S,7316 ALAMEDA ST,
46195,JOHN KELLY CHOCOLATES-RETAIL,1506 N SIERRA BONITA AVE,
46197,ROYAL THEATRE,11523 SANTA MONICA BLVD,
46199,CHIVAS FARM MARKET,7902 S BROADWAY AVE,
46200,JAMES SERVICE CENTER,3950 W MLK BLVD,
46205,RITE AID #05425,334 S VERMONT AVE,
46207,85 CELSIUS BAKERY CAFE,700 WILSHIRE BLVD,
46209,FAMILY NUTRITION CENTER,423 N MEDNIK AVE,
46220,JAN-ETTE'S LIQUOR,4028 W JEFFERSON BLVD,
46222,MONSIEUR MARCEL SEAFOOD MARKET,6333 W 3RD ST # 138,
46232,CELLAR 43,1643 N CAHUENGA BLVD,
46240,LILLY'S SNACKS & DELI,4311 WILSHIRE BLVD # 102,
46241,THE FLAME BROILER TRBK #80,8730 1/4 S SEPULVEDA BLVD,
46247,D&S MARKET,9069 S NORMANDIE AVE,
46248,LA ABEJITA 98,1305 S VERMONT AVE,
46251,LA SABROSA BAKERY,2600 S MAIN ST,
46252,OLIO THE CREPE KITCHEN,5223 WILSHIRE BLVD,
