,facility_name,facility_address,rating
202,PACIFIC DINING CAR,1310 W 6TH ST,3.5
203,TACO BELL #3141,1408 W CENTURY BLVD,
204,LE BALCON BAKERY,1523 LA BREA AVE,
205,FOOD 4 LESS #362,5420 W SUNSET BLVD,
206,MAYTES JUGOS & RASPADOS,1300 SOTO ST STE 9,
207,JASON'S ON BROADWAY,900 S BROADWAY,
208,SUBWAY #1763,3959 WILSHIRE BLVD STE B-7,
209,IHOP #782,8600 S SEPULVEDA BLVD # #0000,
210,HONG KONG RESTAURANT,5122 WHITTIER BLVD,4.0
211,LEO'S MARKET,11875 S MAIN ST,
212,PIZZA HUT #26178,3959 WILSHIRE BLVD STE B-11,
213,BAMBO GARDEN,8844 S VERMONT AVE,
214,BASIC,3372 W 8TH ST,
216,SONSONATE GRILL,5011 S WESTERN AVE,3.0
217,OPERA HOUSE BAKERY,833 S WESTERN AVE 38,4.0
218,COCO FRESH TEA AND JUICE,3470 W 6TH ST # 2B,
219,ALVAREZ BAKERY,4125 CITY TERRACE DR,3.5
220,CEMITAS POBLANAS MI MAGDALENA RESTAURANT #2,3049 E 4TH ST,
221,EL PUEBLO PRODUCE MARKET,4706 S WESTERN AVE,
222,SAN SALVADOR,1828 S VERMONT AVE,2.5
223,THE RAMEN JOINT,6220 W 87TH ST,4.5
224,PAPER TIGER,4574 BEVERLY BLVD,4.0
225,TOMMY TACO,970 GAYLEY AVE,3.5
226,BIG MAMA'S DONUTS,5409 N FIGUEROA ST,
227,NOLD'S LIQUOR,10801 S BROADWAY,
228,SUPER A FOODS,2925 DIVISION ST,4.0
229,FOOD 4 LESS #777,1820 W SLAUSON AVE,
230,BONAVENTURE BREWING CO REST,404 S FIGUEROA ST STE 418A,
231,TACOSWAY,7980 SUNSET BLVD,
232,OCHA RESTAURANT,5405 W SUNSET BLVD,
233,A PLACE CALLED HOME,2830 S CENTRAL AVE,3.5
234,SAN JUAN HUCTZINCO PANADERIA Y PIZZERIA,3017 WABASH AVE,
235,POLLO CAMPERO,1890 W SLAUSON AVE,
236,HOTEL NORMANDIE,605 S NORMANDIE AVE,4.0
238,CLIFTON'S CAFETERIA,648 S BROADWAY,
239,SEXY NUTRITION,7984 W SUNSET BLVD,4.5
240,SAN PEDRO DISCOUNT MARKET,11868 S SAN PEDRO ST,
241,VENA MARKET,8905 VENICE BLVD # 108,2.5
242,JOAN'S ON THIRD'S MARKET,8350 W 3RD ST,
243,VAN BAKERY,5409 W SUNSET BLVD,4.0
244,GOURMENT LA BAKERY,548 S BROADWAY,
245,KAI RAMEN,349 N LA CIENEGA BLVD,
246,SHARKY'S WOODFIRED MEXICAN GRILL,1716 N CAHUENGA BLVD,
247,REYNAS PUPUSERIA #3,5901 S NORMANDIE AVE,
248,MAHI MAHI,6122 W SUNSET BLVD,
249,CURRY HOUSE COCOICHIBANYA,3500 W 6TH ST # 110,
250,LOUISIANA FRIED CHICKEN #4050,4050 CRENSHAW BLVD,
251,THE VILLAGE IDIOT,7383 MELROSE AVE,3.5
252,TOKYO HAMBURG,600 S NEW HAMPSHIRE AVE # F1,4.0
253,AL BASCH CHICKEN,7311 W SUNSET BLVD,5.0
254,SKAI CAFE,1159 S VERMONT AVE,
255,D ADDICTION,1032 S WESTERN AVE,
257,KITCHEN SOODA,618 S SERRANO AVE,4.0
258,NAM KOONG,3514 W 8TH ST,
259,HAPPY NOODLE,833 S WESTERN AVE STE 41,4.0
260,WESTIN BONAVENTURE LA PRIME,404 S FIGUEROA ST 35TH,
261,SKY'S TACOS,5408 W PICO BLVD,
262,HERE'S LOOKING AT YOU,3901 W 6TH ST # A,
263,LA MORENITA LUNCH BOR,1320 LA PUERTA ST,
265,SHERATON HOTEL,6101 W CENTURY BLVD,
266,LA CABANA,2931 E 4TH ST,4.0
267,DIVISION 3,3329 DIVISION ST,4.5
268,"TEUM RESTAURANT, INC.",3526 W 8TH ST,
269,AFC SUSHI @ RALPH'S #39,260 S LA BREA AVE,
270,PIZZA BELLA,1900 N HIGHLAND AVE,2.5
271,DONA INEZ RESTAURANTE TU COCINA MEXICANA,847 SANTEE ST,
272,MOMOTA RAMEN HOUSE,4003 WILSHIRE BLVD STE I,
273,EL DORADO BOWLERO,8731 LINCOLN BLVD,
274,OLYMPIC CAFE HOUSE OF BKFST,3728 W OLYMPIC BLVD,
275,FALAFEL CORNER,698 S IROLO ST STE #103,
276,DOWNTOWN FATBURGER,888 S FIGUEROA ST,
277,DOREEN'S TROPICAL FRUITS,102 W 7TH ST,
278,CAFE SUGAR,2735 W TEMPLE ST,
279,BRASS MONKEY INC,659 S MARIPOSA AVE,
